,Unnamed: 0,placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
7646,7657,zzw-224@63s-whm-rc5,sg:c3a79e16829a468d93e1a7a1f3837ef3,,,Elmcroft of Hagerstown,1175 Professional Ct,Hagerstown,MD,21740,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,2,2,"[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]",240430006011,{},{},"{""US"":4}",,298.5,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":1,"">240"":1}",{},"{""Ermenegildo Zenga"":50,""Hugo Boss"":50,""Label Shopper"":50,""LEDO Pizza"":50,""Rutter's Farm Stores"":50,""Friendly's"":50,""Giant Food Stores"":50,""Bruster's Ice Cream"":50,""Nike"":50,""Auntie Anne's"":50,""Beltone"":50,""Wegmans Food Markets"":50,""TGI Fridays"":50,""BJ's Wholesale Club"":49,""International Trucks"":49,""CrossFit"":49,""Sheetz"":49,""AutoZone"":48,""GameStop"":48,""Simon mall"":48}","[2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":1,""Friday"":0,""Saturday"":0,""Sunday"":1}","{""android"":0,""ios"":0}"
10315,10326,zzw-223@63s-ws3-9fz,sg:bb078e6f4af94d2cbe48cba007feffed,,,Hagerstown Ford,1714 Massey Blvd,Halfway,MD,21740,SG_BRAND_80ca06abfa1a5104af9a770f485dad07,Ford Motor Company,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,395,225,"[8,18,26,4,20,11,18,8,21,9,3,14,13,8,10,14,7,6,21,12,19,13,14,12,5,18,8,21,16,18]",240430009003,"{""240430113013"":8,""240430112011"":7,""240430010023"":5,""240430115002"":5,""240430105003"":5,""240430104002"":5,""240430105001"":5,""420550107004"":5,""240217528022"":4,""540039721021"":4,""240430107003"":4,""240430103001"":4,""240430109004"":4,""421330222002"":4,""240217510042"":4,""540039711024"":4,""420550125011"":4,""540039721026"":4,""420579603004"":4,""540039711012"":4,""240430104004"":4,""240430116001"":4,""540379725011"":4,""240317004002"":4,""240430105002"":4,""240430108012"":4,""240217505051"":4,""240430109001"":4,""240430103002"":4,""240430108022"":4,""540039716002"":4,""420430227011"":4,""540039718003"":4,""240430113011"":4,""420550120001"":4,""240430106001"":4,""540039712013"":4,""240217754004"":4,""240430112023"":4,""240317060072"":4,""540039711022"":4,""540659707002"":4,""540659708001"":4,""240430109002"":4,""540039711021"":4,""240430113022"":4,""420550117003"":4}","{""240430009003"":8,""240430113013"":7,""420550125011"":7,""240430108011"":6,""420579602003"":5,""240430106001"":5,""240430105002"":5,""540039716001"":4,""240430103002"":4,""540039711012"":4,""240430112021"":4,""540039716002"":4,""240430103001"":4,""240430115002"":4,""540039711024"":4,""240430002003"":4,""540039711025"":4,""240430104004"":4,""240430113022"":4,""240430105001"":4,""240430010023"":4,""240430107002"":4,""240317004002"":4,""240430008001"":4,""240217530016"":4,""420550125012"":4,""240430112011"":4,""240430009002"":4,""540379725011"":4,""240430105003"":4,""240430109004"":4,""420550117004"":4,""120879715011"":4,""240317060072"":4,""240430108022"":4,""240430108012"":4,""420550125022"":4,""240217525012"":4,""540039721026"":4,""540039721022"":4,""240430109001"":4,""540039711022"":4,""420579603003"":4}","{""US"":214}",19213.0,21.0,"{""<5"":17,""5-10"":126,""11-20"":49,""21-60"":76,""61-120"":49,""121-240"":31,"">240"":47}","{""Dodge"":20,""BB&T (Branch Banking and Trust)"":14,""Walmart"":13,""Mr. Tire"":12,""Sears Home Services"":12,""Panera Bread"":11,""Sam's Club"":11,""Quick Lane"":8,""GMC (General Motors Company)"":8,""GameStop"":7,""Vasa Fitness"":6,""Freightliner Trucks"":6,""Toyota"":6,""ROCS"":6,""Ram"":6,""Sheetz"":6,""Chevrolet"":6}","{""Sheetz"":68,""McDonald's"":55,""Walmart"":37,""Exxon Mobil"":37,""Lowe's"":36,""Dunkin'"":28,""Dollar General"":27,""Chick-fil-A"":27,""Wendy's"":25,""Starbucks"":23,""BP"":21,""Burger King"":21,""Tractor Supply Co."":19,""The Home Depot"":18,""Dollar Tree"":18,""Roy Rogers"":17,""Arby's"":17,""Fresenius Kidney Care"":17,""Martin's Foods"":17,""Rutter's Farm Stores"":16}","[2,2,2,5,6,4,19,29,52,64,67,80,87,85,102,82,75,70,67,49,30,18,7,4]","{""Monday"":73,""Tuesday"":44,""Wednesday"":66,""Thursday"":55,""Friday"":85,""Saturday"":54,""Sunday"":18}","{""android"":122,""ios"":103}"
11652,11663,22x-223@63s-whq-5s5,sg:37871beed5d244c1af434b2fa5352086,,,Walker Performing Arts,58 E Washington St,Hagerstown,MD,21740,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,46,27,"[2,0,2,2,0,0,0,0,1,0,4,1,3,1,1,0,3,7,1,0,0,3,2,2,5,1,3,0,1,1]",240430005001,"{""540659707002"":4,""240430102002"":4,""240430109001"":4,""450510510001"":4,""240430103002"":4,""240430112014"":4,""540139627003"":4,""240430005003"":4,""240430005001"":4}","{""240217512024"":4,""240430109001"":4,""240430004003"":4,""240430111002"":4,""240430002002"":4}","{""US"":18}",6348.0,109.5,"{""<5"":1,""5-10"":5,""11-20"":2,""21-60"":8,""61-120"":10,""121-240"":18,"">240"":2}",{},"{""Sheetz"":40,""Walmart"":23,""McDonald's"":18,""CVS"":17,""Simon mall"":16,""Sam's Club"":15,""Fresenius Kidney Care"":15,""IHOP"":13,""Wendy's"":13,""Arby's"":12,""Exxon Mobil"":11,""Jimmy John's"":10,""Michaels Stores"":10,""Cracker Barrel"":10,""ALDI"":9,""Ross Stores"":9,""Target"":8,""Biomat USA"":7,""Roy Rogers"":7,""Weis Markets"":7}","[1,1,0,0,0,0,0,0,0,7,16,15,15,6,6,5,9,8,7,2,7,8,8,5]","{""Monday"":3,""Tuesday"":6,""Wednesday"":1,""Thursday"":7,""Friday"":4,""Saturday"":7,""Sunday"":18}","{""android"":11,""ios"":15}"
12501,12514,zzw-222@63s-wrp-7qz,sg:868810a7f7bf4e9b8120dbcc8e088218,,,Star Equestrian Center,13674 Greencastle Pike,Hagerstown,MD,21740,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,45,13,"[0,0,1,0,1,0,1,1,2,1,0,3,1,4,2,3,0,0,2,1,0,1,2,5,2,3,1,2,3,3]",240430104003,"{""240430104001"":4,""240430102003"":4}","{""240430104001"":4,""240430102004"":4,""240430104004"":4,""420550118003"":4}","{""US"":11}",8561.0,54.0,"{""<5"":1,""5-10"":6,""11-20"":5,""21-60"":13,""61-120"":11,""121-240"":7,"">240"":2}","{""Dollar General"":23}","{""Sheetz"":91,""CVS"":48,""United States Postal Service (USPS)"":44,""Walmart"":44,""Dollar General"":39,""McDonald's"":31,""Martin's Foods"":31,""Cracker Barrel"":29,""Dunkin'"":27,""Exxon Mobil"":27,""Roy Rogers"":23,""Weis Markets"":23,""Residence Inn by Marriott"":23,""Health Street"":23,""Pilot Flying J"":22,""Advance Auto Parts"":22,""QuikTrip"":21,""PetSmart"":21,""Popeyes Louisiana Kitchen"":21,""Arby's"":20}","[0,0,0,0,0,0,0,0,1,2,3,4,3,9,10,7,16,18,17,11,1,1,0,0]","{""Monday"":9,""Tuesday"":3,""Wednesday"":7,""Thursday"":7,""Friday"":10,""Saturday"":7,""Sunday"":2}","{""android"":9,""ios"":4}"
12563,12576,224-222@63s-whh-btv,sg:8c3f0fe126e74938a195d06347b57c77,,,Meadows Frozen Custard,222 E Oak Ridge Dr Ste 2400,Hagerstown,MD,21740,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,49,44,"[1,1,0,0,2,1,1,3,0,3,4,2,0,2,1,3,2,5,4,3,1,1,0,2,0,0,3,2,0,2]",240430006021,"{""240430116001"":4,""240430109001"":4,""240430108012"":4,""420579603003"":4,""240217518021"":4,""240430005003"":4,""540039711021"":4,""240430006022"":4,""240430112021"":4,""240430113013"":4,""240430010023"":4}","{""240217518021"":4,""420550122001"":4,""240430112021"":4,""240430103001"":4,""240430109001"":4,""240430113013"":4,""240430103002"":4,""240430010023"":4,""240430010022"":4,""540039711021"":4}","{""US"":44}",10454.0,5.0,"{""<5"":8,""5-10"":27,""11-20"":4,""21-60"":5,""61-120"":4,""121-240"":1,"">240"":0}","{""Simon mall"":99}","{""Sheetz"":63,""McDonald's"":60,""The Meadows"":52,""Walmart"":44,""Simon mall"":41,""Chick-fil-A"":41,""Target"":34,""Dunkin'"":30,""Dollar General"":29,""Taco Bell"":28,""Lowe's"":26,""Martin's Foods"":25,""Sam's Club"":24,""Wendy's"":24,""Exxon Mobil"":23,""Arby's"":22,""CVS"":20,""Sam's Club Fuel Center"":19,""Dairy Queen"":19,""Roy Rogers"":18}","[0,0,0,0,0,0,0,0,1,0,2,2,3,6,9,7,10,12,12,3,0,0,0,0]","{""Monday"":8,""Tuesday"":7,""Wednesday"":6,""Thursday"":6,""Friday"":6,""Saturday"":7,""Sunday"":9}","{""android"":15,""ios"":27}"
15055,15073,223-222@63s-ws9-45f,sg:75b51cc77831497aafa84940ff7e97df,zzw-222@63s-wsb-2x5,sg:ae5822ff1bd34709aa5533f59c6bf57a,Sally Beauty Supply,17620 Garland Groh Blvd,Hagerstown,MD,21740,SG_BRAND_57bdb072ef4ee4c0fcd12ab460b8466f,Sally Beauty Supply,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,26,24,"[0,2,1,0,1,0,2,2,0,1,1,1,1,2,2,0,1,1,0,0,0,1,2,2,0,2,0,0,1,0]",240430104004,"{""240430112021"":4}","{""240430001001"":4,""420550117004"":4,""240430112021"":4,""540039711011"":4,""240430103003"":4,""240430009002"":4,""420550116001"":4,""540039711012"":4,""420550115005"":4}","{""US"":21}",7312.0,21.0,"{""<5"":0,""5-10"":7,""11-20"":6,""21-60"":9,""61-120"":2,""121-240"":1,"">240"":1}","{""CVS"":99,""McDonald's"":96,""Big Lots Stores"":50}","{""Sheetz"":62,""Walmart"":57,""McDonald's"":47,""Dollar General"":43,""Lowe's"":36,""GameStop"":35,""The Home Depot"":32,""Sam's Club"":30,""Exxon Mobil"":29,""Fresenius Kidney Care"":29,""Burger King"":28,""CVS"":28,""Wendy's"":27,""Dunkin'"":25,""Martin's Foods"":25,""Target"":22,""Primanti Bros."":21,""Weis Markets"":21,""Golden Corral"":20,""Dollar Tree"":20}","[0,0,0,0,0,0,0,0,0,0,5,2,2,6,4,6,4,6,5,6,0,0,0,0]","{""Monday"":4,""Tuesday"":1,""Wednesday"":4,""Thursday"":6,""Friday"":4,""Saturday"":5,""Sunday"":2}","{""android"":20,""ios"":4}"
19206,19228,225-222@63s-whh-z4v,sg:f86356fab1dd4afd9f32cbe639a62ad6,,,Liberty,717 Frederick St,Hagerstown,MD,21740,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,197,77,"[3,1,3,1,6,6,5,8,8,3,1,7,9,10,9,5,3,1,13,6,8,10,13,0,0,11,15,15,9,8]",240430007003,"{""240430006021"":6,""240430116001"":6,""240430112021"":5,""240430007003"":4,""240430006012"":4,""240430114003"":4,""240430009003"":4,""240430002001"":4,""540279685002"":4,""240430003011"":4,""240317002051"":4,""420550110003"":4,""240430109001"":4,""240430003012"":4,""240430010021"":4,""240430111002"":4}","{""240430006021"":5,""540379722011"":4,""540659709001"":4,""240430114003"":4,""240430006012"":4,""240430009003"":4,""420710011001"":4,""240430106001"":4,""240430010011"":4,""240430005003"":4,""240430116001"":4,""240430003022"":4,""240217510011"":4,""240430003012"":4,""240430112021"":4,""420550117002"":4,""240217523022"":4,""240317002051"":4,""240430108012"":4,""240430103003"":4}","{""US"":73}",6184.0,101.0,"{""<5"":6,""5-10"":59,""11-20"":2,""21-60"":13,""61-120"":37,""121-240"":70,"">240"":10}","{""Nothing Bundt Cakes"":17,""Homewood Suites by Hilton"":15,""Buffalo Wild Wings"":14,""Martin's Foods"":11,""Boys & Girls Clubs of America"":10,""Target"":9,""PetSmart"":7,""Dunkin'"":7}","{""Sheetz"":68,""McDonald's"":47,""Walmart"":46,""Exxon Mobil"":42,""Chick-fil-A"":35,""Lowe's"":34,""Dunkin'"":31,""Wendy's"":30,""CVS"":27,""Dollar General"":27,""Dollar Tree"":26,""Martin's Foods"":22,""Walgreens"":22,""Family Dollar Stores"":22,""M&T Bank"":21,""7-Eleven"":19,""Target"":19,""Sam's Club"":19,""Simon mall"":19,""Weis Markets"":18}","[1,1,1,1,1,1,3,3,49,82,83,67,58,58,47,3,13,15,9,5,6,2,2,2]","{""Monday"":37,""Tuesday"":36,""Wednesday"":38,""Thursday"":39,""Friday"":35,""Saturday"":9,""Sunday"":3}","{""android"":38,""ios"":38}"
20591,20616,222-223@63s-whq-d9z,sg:70ea0ce53d36497399089add337c9c75,zzw-223@63s-whq-ct9,sg:fa37c70ee5814af599d36152c0a714bc,Krispy Cream Donuts,531 Dual Hwy,Hagerstown,MD,21740,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,358,308,"[8,25,14,15,8,7,12,3,10,22,10,8,5,9,10,15,23,13,13,13,5,11,13,30,8,7,9,9,17,6]",240430006022,"{""240430113013"":9,""240430112013"":8,""240430104004"":7,""420033001003"":6,""240430104002"":5,""240430108012"":5,""240430006022"":5,""420579601001"":5,""240430006011"":5,""240430005003"":5,""510690511023"":4,""420550110002"":4,""090075417001"":4,""420410130001"":4,""420410130004"":4,""420550109001"":4,""240430105001"":4,""240217707003"":4,""240430109001"":4,""420550115002"":4,""240317044031"":4,""510690508031"":4,""540039713004"":4,""240430008003"":4,""240430010023"":4,""240430112012"":4,""240430113021"":4,""240430112023"":4,""240430112011"":4,""240054088002"":4,""240430103003"":4,""420550117002"":4,""240430010021"":4,""510594905022"":4,""420550118001"":4,""510690511013"":4,""540039712012"":4,""240217528022"":4,""421110213002"":4,""240430105002"":4,""240276030031"":4,""420550117004"":4,""420270122002"":4,""240010001003"":4,""540610120001"":4,""240253033003"":4,""240430114001"":4,""540039711012"":4,""240430010014"":4,""240430116001"":4,""240217522011"":4,""450630213081"":4,""540039712014"":4,""360650257002"":4,""240430001002"":4,""540039721022"":4,""420550115004"":4,""240430114003"":4,""240317045022"":4,""240430112021"":4,""540039713001"":4,""540039718001"":4,""420550118002"":4,""420550119003"":4,""240430107002"":4,""540039712024"":4,""060730134103"":4,""240430004002"":4,""120810020132"":4,""240430105004"":4}","{""240430006022"":10,""240430112013"":8,""240430108022"":7,""240430006011"":7,""240430104004"":7,""240430104002"":6,""240430112021"":5,""420550108003"":5,""420579603002"":5,""240430113013"":5,""420550118001"":5,""420550117004"":5,""420010305001"":4,""240430114001"":4,""540039712014"":4,""540039714003"":4,""510690511013"":4,""240217507012"":4,""240217523032"":4,""510690508011"":4,""240430112014"":4,""090075417001"":4,""240430116001"":4,""240430106001"":4,""240430115002"":4,""240430010023"":4,""421110215001"":4,""540039711021"":4,""240430114003"":4,""420550110003"":4,""510594905021"":4,""240135052051"":4,""420550110002"":4,""240430113011"":4,""240430113021"":4,""540379724022"":4,""240430112011"":4,""510690511023"":4,""420550115002"":4,""240430112012"":4,""540039720001"":4,""240430105004"":4,""240430109004"":4,""240217523013"":4,""540570103001"":4,""420410130004"":4,""240430004002"":4,""240430108012"":4,""420550119003"":4,""420550117002"":4,""240217510033"":4,""240430010013"":4,""540039713001"":4,""420550105001"":4,""240430114002"":4,""540379725051"":4,""240430003022"":4,""420033001003"":4,""240430111004"":4,""060730134103"":4,""240430103003"":4,""540610120001"":4}","{""US"":302}",17710.0,7.0,"{""<5"":30,""5-10"":225,""11-20"":44,""21-60"":31,""61-120"":7,""121-240"":14,"">240"":7}","{""Burger King"":19,""McDonald's"":15,""Planet Fitness"":14,""Wendy's"":13,""Mr. Tire"":12,""Exxon Mobil"":12,""Starbucks"":10,""7-Eleven"":9,""ALDI"":9,""T.J. Maxx"":9,""Dick's Sporting Goods"":8,""Bruster's Ice Cream"":7,""Olive Garden"":6,""Russell Cellular"":6}","{""Sheetz"":66,""McDonald's"":55,""Walmart"":50,""Exxon Mobil"":38,""Chick-fil-A"":37,""Wendy's"":31,""Taco Bell"":28,""Starbucks"":28,""Lowe's"":27,""Dunkin'"":27,""Burger King"":26,""Dollar General"":24,""CVS"":24,""Target"":23,""Dollar Tree"":21,""Martin's Foods"":21,""Simon mall"":21,""Dairy Queen"":20,""7-Eleven"":18,""Sam's Club"":18}","[1,1,1,1,1,1,6,14,16,29,39,22,23,26,27,34,41,41,40,52,37,28,17,5]","{""Monday"":36,""Tuesday"":34,""Wednesday"":35,""Thursday"":49,""Friday"":69,""Saturday"":89,""Sunday"":46}","{""android"":130,""ios"":180}"
24356,24382,222-222@63s-wsb-54v,sg:cf2f6bf93efc4f75ba315be9056a7a9a,zzw-222@63s-wsb-2x5,sg:ae5822ff1bd34709aa5533f59c6bf57a,IHOP,17820 Garland Groh Blvd,Hagerstown,MD,21740,SG_BRAND_2ead5f3ce811920a989327e6f5c6ef73,IHOP,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,503,406,"[14,27,28,22,10,9,15,10,15,24,21,15,10,11,6,26,21,16,18,15,15,9,19,29,34,16,9,11,8,20]",240430104004,"{""240430103002"":9,""240430104003"":8,""240430007001"":8,""540039714003"":7,""240430112021"":7,""240430104002"":7,""240430002001"":7,""240430106001"":7,""240430010013"":7,""240430003012"":7,""540039711021"":6,""060375006005"":5,""240430102004"":5,""540659708004"":5,""240430005003"":5,""420550110001"":5,""420550116002"":5,""420550114002"":4,""420550102001"":4,""240430106004"":4,""420550116001"":4,""240317032161"":4,""420550113022"":4,""240010017003"":4,""240217516002"":4,""240430003022"":4,""240430112013"":4,""420550118003"":4,""240430010023"":4,""240430010022"":4,""240430105003"":4,""240430103003"":4,""420550117003"":4,""420550104004"":4,""240430108011"":4,""240430109001"":4,""210290211012"":4,""540039711011"":4,""420550119001"":4,""540659707003"":4,""240430003021"":4,""361031588041"":4,""540039717005"":4,""240430116002"":4,""420550113012"":4,""420171002012"":4,""420550121001"":4,""420550103002"":4,""540039712011"":4,""240430108022"":4,""420410127013"":4,""100010430001"":4,""420550110003"":4,""240217519022"":4,""420550116003"":4,""240430006022"":4,""420550118001"":4,""240338041021"":4,""240217506003"":4,""240430112011"":4,""420550112002"":4,""540039713001"":4,""360594158025"":4,""420550125011"":4,""240430010012"":4,""240430004002"":4,""240430112014"":4,""540039721022"":4,""240430001002"":4,""240430109003"":4,""240430106002"":4,""540039713003"":4,""420550119003"":4,""240430114002"":4,""240430108012"":4,""540039712014"":4,""420550125021"":4,""240430104004"":4,""130670312061"":4,""540039713004"":4,""420550108003"":4}","{""240430104004"":11,""240430103002"":9,""240430002001"":9,""240430104003"":9,""420550118003"":7,""240430112013"":7,""420550115006"":6,""240430005003"":6,""240430003012"":6,""420550110003"":5,""420550112002"":5,""240430104002"":5,""420010317001"":5,""240430113021"":5,""420550116002"":5,""420550118001"":4,""240430109003"":4,""240430103003"":4,""240430002002"":4,""240430116002"":4,""240430007001"":4,""420550113012"":4,""420410103002"":4,""361031588041"":4,""240430115001"":4,""240430109001"":4,""240430112012"":4,""390490102001"":4,""240430105003"":4,""240430106001"":4,""420171002012"":4,""540039713001"":4,""420010313002"":4,""540039719005"":4,""240430114001"":4,""420550119003"":4,""240253031011"":4,""420550108003"":4,""240230001002"":4,""240430106002"":4,""240135010011"":4,""240430009002"":4,""540039718002"":4,""420550125011"":4,""540659707003"":4,""240430114002"":4,""420550102001"":4,""240430006022"":4,""240217526022"":4,""240430010011"":4,""240276040013"":4,""420550124001"":4,""420550120003"":4,""240430109002"":4,""240430112014"":4,""240430108022"":4,""420579603002"":4,""240430009001"":4,""420550119004"":4,""540039711021"":4,""240430006011"":4,""240430006021"":4,""240430106004"":4,""540039712012"":4,""540039714003"":4,""240430103001"":4,""240010022001"":4,""540039719003"":4,""240430008002"":4,""540039713003"":4,""540039714005"":4,""517750101002"":4,""240430112021"":4,""540659708002"":4,""240217506003"":4,""240430112011"":4,""240317002061"":4,""420410127013"":4,""360894901002"":4,""240430004002"":4,""420550117003"":4,""420579601002"":4,""540039714004"":4,""420550124002"":4,""240430108012"":4,""518400001001"":4,""240430004003"":4,""540039711011"":4,""240430010023"":4,""240430105002"":4,""240430003011"":4,""240010007001"":4,""100010430001"":4,""240317007221"":4,""240430104001"":4}","{""US"":397}",14894.0,38.0,"{""<5"":19,""5-10"":110,""11-20"":48,""21-60"":188,""61-120"":106,""121-240"":17,"">240"":15}","{""2nd and Charles"":12,""Fresenius Kidney Care"":12,""Dick's Sporting Goods"":12,""Simon mall"":11,""Ace Hardware"":10,""Ford Motor Company"":9,""KFC"":8,""BJ's Wholesale Club"":7,""Ram"":6,""Walmart"":6,""Kohl's"":6,""Burger King"":6,""CVS"":6,""Target"":6,""Red Robin Gourmet Burgers"":5}","{""Sheetz"":68,""McDonald's"":55,""Walmart"":46,""Dollar General"":30,""Exxon Mobil"":29,""Wendy's"":28,""Taco Bell"":27,""Chick-fil-A"":27,""Dunkin'"":26,""Lowe's"":23,""CVS"":23,""Starbucks"":23,""Burger King"":22,""Target"":21,""Martin's Foods"":20,""Simon mall"":20,""Arby's"":19,""Dollar Tree"":17,""Sunoco"":17,""Sam's Club"":16}","[5,2,1,2,2,2,6,18,57,75,107,106,96,72,45,35,40,40,47,41,49,38,20,10]","{""Monday"":59,""Tuesday"":43,""Wednesday"":52,""Thursday"":47,""Friday"":107,""Saturday"":102,""Sunday"":93}","{""android"":183,""ios"":222}"
26003,26034,zzw-222@63s-wh2-v4v,sg:614ca71b68a84f88bd6d5202f36e2d65,,,Anesthesia and Interventional Pain Management Cnter,12821 Oak Hill Ave Ste 2,Paramount-Long Meadow,MD,21742,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,52,39,"[1,0,0,0,3,4,2,4,2,1,0,2,1,1,3,1,0,0,4,2,4,2,2,0,0,5,2,3,2,1]",240430103003,"{""240430105001"":6,""240430115004"":4,""240430003012"":4,""240430103003"":4,""240430112021"":4,""420579603004"":4,""240430112013"":4,""540039711021"":4,""540039713002"":4,""240054050002"":4}","{""240430103003"":9,""240430112021"":5,""240430004002"":4,""240430109001"":4,""240430112013"":4,""240430005001"":4,""240430009002"":4,""240217505035"":4}","{""US"":39}",11150.0,45.5,"{""<5"":1,""5-10"":4,""11-20"":5,""21-60"":21,""61-120"":11,""121-240"":1,"">240"":9}","{""Red Robin Gourmet Burgers"":50,""Dunkin'"":24,""Target"":19}","{""Walmart"":62,""Fresenius Kidney Care"":59,""Sheetz"":53,""McDonald's"":52,""CVS"":38,""Lowe's"":36,""Martin's Foods"":33,""Exxon Mobil"":32,""Chick-fil-A"":29,""The Home Depot"":25,""Dollar Tree"":23,""Wendy's"":22,""Sam's Club Fuel Center"":22,""Dollar General"":21,""United States Postal Service (USPS)"":21,""Arby's"":20,""7-Eleven"":20,""Starbucks"":20,""Sam's Club"":20,""Walgreens"":19}","[2,2,2,2,2,1,0,8,14,13,25,24,14,15,13,5,4,0,0,0,2,2,2,2]","{""Monday"":14,""Tuesday"":9,""Wednesday"":10,""Thursday"":12,""Friday"":6,""Saturday"":1,""Sunday"":0}","{""android"":23,""ios"":17}"
28060,28092,224-222@63s-ws5-bkz,sg:207564fae3324c63886ad7b88406c17e,,,Hair Cottage,17858 Virginia Ave,Halfway,MD,21740,,,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,66,25,"[5,6,2,2,0,2,4,4,3,1,0,1,3,3,2,1,3,1,1,2,1,2,3,3,2,1,4,0,3,1]",240430010014,"{""240430111002"":4,""240430010014"":4,""240430104003"":4}","{""240430006022"":4,""540039711011"":4,""450190046121"":4,""240430010014"":4,""110010028022"":4}","{""US"":23}",11703.0,57.5,"{""<5"":0,""5-10"":6,""11-20"":6,""21-60"":23,""61-120"":15,""121-240"":8,"">240"":8}","{""CVS"":49}","{""Sheetz"":75,""McDonald's"":45,""Lowe's"":35,""Dollar Tree"":35,""Taco Bell"":34,""CVS"":31,""Walmart"":30,""BP"":28,""Exxon Mobil"":28,""Fresenius Kidney Care"":28,""Wendy's"":26,""Chick-fil-A"":25,""Bob Evans"":24,""The Home Depot"":22,""Walgreens"":21,""Target"":21,""Martin's Foods"":20,""AutoZone"":18,""Arby's"":17,""7-Eleven"":17}","[8,7,6,5,5,5,7,6,8,11,10,9,8,10,7,22,19,19,22,15,9,9,8,8]","{""Monday"":3,""Tuesday"":11,""Wednesday"":8,""Thursday"":16,""Friday"":14,""Saturday"":9,""Sunday"":5}","{""android"":7,""ios"":16}"
